Country, Region, Population, Area (sq. mi.), Coastline (coast area sq. mi.), GDP, Literacy (%), Birthrate (per 1000 people), Deathrate (per 1000 people), Agriculture in GDP (%), Industry in GDP (%), Service in GDP (%) 
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,0,1300,"42,2","33,65","12,7","0,258","0,379","0,363"
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,0,2400,"87,2","23,3","7,53","0,128","0,352","0,52"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,"0,04",6100,,"8,77","8,27","0,142","0,308","0,55"
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,0,9000,"79,8","23,08","29,5","0,024","0,469","0,507"
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,"0,09",7600,"86,4","16,56","6,17","0,084","0,4","0,516"
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,"52,29",16000,"97,8","14,89","4,42","0,018","0,062","0,92"
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,"2,79",18600,"93,9","18,79","3,45","0,036","0,561","0,403"
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,"0,32",7600,"98,6","9,65","14,27","0,093","0,304","0,603"
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,0,1100,"26,6","45,62","15,6","0,322","0,196","0,482"
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,"0,28",1800,"85,3","17,91","9,83","0,564","0,082","0,353"
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,0,600,"51,6","42,22","13,46","0,463","0,203","0,334"
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,"0,24",1900,"69,4","26,9","9,06","0,35","0,3","0,35"
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,"0,08",1800,79,"33,89","13,47","0,448","0,17","0,382"
Canada ,NORTHERN AMERICA                   ,33098932,9984670,"2,02",29800,97,"10,78","7,8","0,022","0,294","0,684"
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,"23,93",1400,"76,6","24,87","6,55","0,121","0,219","0,66"
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,"61,07",35000,98,"12,74","4,89","0,014","0,032","0,954"
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,0,1100,51,"33,91","18,65","0,55","0,2","0,25"
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,0,1200,"47,5","45,73","16,38","0,335","0,259","0,406"
Chile ,LATIN AMER. & CARIB    ,16134219,756950,"0,85",9900,"96,2","15,23","5,81","0,06","0,493","0,447"
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,"0,15",5000,"90,9","13,25","6,97","0,125","0,473","0,403"
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,"0,28",6300,"92,5","20,48","5,58","0,125","0,342","0,533"
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,"15,67",700,"56,5","36,93","8,2","0,4","0,04","0,56"
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,0,700,"65,5","43,69","13,27","0,55","0,11","0,34"
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,342000,"0,05",700,"83,8","42,57","12,93","0,062","0,57","0,369"
Cook Islands ,OCEANIA                            ,21388,240,50,5000,95,21,,"0,151","0,096","0,753"
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,"2,52",9100,96,"18,32","4,36","0,088","0,299","0,614"
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,"0,16",1400,"50,9","35,11","14,84","0,279","0,171","0,55"
Croatia ,EASTERN EUROPE                     ,4494749,56542,"10,32",10600,"98,5","9,61","11,48","0,07","0,308","0,622"
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,"3,37",2900,97,"11,89","7,22","0,055","0,261","0,684"
Cyprus ,NEAR EAST                          ,784301,9250,"7,01",19200,"97,6","12,56","7,68","0,037","0,198","0,765"
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,0,15700,"99,9","9,02","10,59","0,034","0,393","0,573"
Denmark ,WESTERN EUROPE                     ,5450661,43094,"16,97",31100,100,"11,13","10,36","0,018","0,246","0,735"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,"1,37",1300,"67,9","39,53","19,31","0,179","0,225","0,596"
Dominica ,LATIN AMER. & CARIB    ,68910,754,"19,63",5400,94,"15,27","6,73","0,177","0,328","0,495"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,"2,64",6000,"84,7","23,22","5,73","0,112","0,306","0,582"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,"4,7",500,"58,6","26,99","6,24","0,085","0,231","0,684"
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,"0,79",3300,"92,5","22,29","4,23","0,07","0,312","0,618"
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,"57,7","22,94","5,23","0,149","0,357","0,493"
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,"1,46",4800,"80,2","26,61","5,78","0,099","0,302","0,599"
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,"1,06",2700,"85,7","35,59","15,06","0,03","0,906","0,062"
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,"1,84",700,"58,6","34,33","9,6","0,102","0,254","0,643"
Estonia ,BALTICS                            ,1324333,45226,"8,39",12300,"99,8","10,04","13,25","0,04","0,294","0,666"
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,0,700,"42,7","37,98","14,86","0,475","0,099","0,426"
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,"79,84",22000,,"14,05","8,7","0,27","0,11","0,62"
Fiji ,OCEANIA                            ,905949,18270,"6,18",5800,"93,7","22,55","5,65","0,089","0,135","0,776"
Finland ,WESTERN EUROPE                     ,5231372,338145,"0,37",27400,100,"10,45","9,86","0,028","0,295","0,676"
